App,Category,Rating,Installs,tipo,Price,Content_Rating,Genres,Last_Updated,Current_Ver,Android_Ver
0,0,4.1,10000.0,0,0.0,0.0,0,0,0,0
1,0,3.9,500000.0,0,0.0,0.0,1,1,1,0
2,0,4.7,5000000.0,0,0.0,0.0,0,2,2,0
3,0,4.5,50000000.0,0,0.0,1.0,0,3,3,1
4,0,4.3,100000.0,0,0.0,0.0,2,4,4,2
5,0,4.4,50000.0,0,0.0,0.0,0,5,5,3
6,0,3.8,50000.0,0,0.0,0.0,0,6,4,0
7,0,4.1,1000000.0,0,0.0,0.0,0,7,6,1
8,0,4.4,1000000.0,0,0.0,0.0,0,8,7,4
9,0,4.7,10000.0,0,0.0,0.0,2,9,8,0
10,0,4.4,1000000.0,0,0.0,0.0,0,10,9,5
11,0,4.4,1000000.0,0,0.0,0.0,0,11,10,6
12,0,4.2,10000000.0,0,0.0,1.0,0,12,11,5
13,0,4.6,100000.0,0,0.0,0.0,0,13,9,2
14,0,4.4,100000.0,0,0.0,0.0,0,14,12,3
15,0,3.2,5000.0,0,0.0,0.0,0,15,13,1
16,0,4.7,500000.0,0,0.0,0.0,0,11,14,5
17,0,4.5,10000.0,0,0.0,0.0,0,16,5,3
18,0,4.3,5000000.0,0,0.0,0.0,0,14,15,0
19,0,4.6,10000000.0,0,0.0,0.0,0,17,16,5
20,0,4.0,100000.0,0,0.0,0.0,0,18,17,5
21,0,4.1,100000.0,0,0.0,0.0,0,19,4,0
22,0,4.7,500000.0,0,0.0,2.0,0,20,18,0
23,0,,100000.0,0,0.0,0.0,3,21,0,5
24,0,4.7,50000.0,0,0.0,0.0,0,22,19,5
25,0,4.8,10000.0,0,0.0,0.0,0,23,20,4
26,0,4.7,500000.0,0,0.0,0.0,2,24,21,0
27,0,4.1,100000.0,0,0.0,0.0,0,25,22,0
28,0,3.9,10000.0,0,0.0,0.0,0,20,23,3
29,0,4.1,100000.0,0,0.0,0.0,0,26,5,3
30,0,4.2,100000.0,0,0.0,0.0,0,20,24,0
